Page,Time (s),Classification,Summary
1,11.97,Bouwvergunningaanvraag,"Aanvraag voor bouwvergunning van de Gezamenlijke Woningbouwverenigingen Elst, met details over bestemming, bouwkosten en betrokken partijen."
2,10.22,Architectural Construction Permit Application,"This form is used for submitting architectural construction permits to the welfare supervision service, including details such as the architect's name, address, materials used, colors, and a technical drawing or photo of the buildings involved."
3,10.82,Bouw- en Woningtoezicht form,"A form for submitting information to the Dutch Building and Housing Inspectorate regarding building and housing regulations, including details about the height of buildings, separation of properties, provision of utilities, and the intended use of rooms."
4,9.89,Bouwvergunningaanvraag,Verzoek voor vergunning voor bouwen van 27 woningbouw eenheden op perceel Wagenmakerstraat te Elst.
5,26.50,Besluit over bouwvergunning,"Het besluit bevat een welstandsbeoordeling, aanvullingen en bijzonderheden, en advies voor de aanvrager. Het besluit is gericht op een bouwvergunning voor een inrichting in een bestaande woningbouwvereniging. Er zijn geen technische bezwaren genoemd, maar er zijn beschadigingen aan het gemeentelijk wegdek, trottoir en plantsoenen die moeten worden afgedekt. Het advies bevat onder andere dat geen aanvang wordt gemaakt met de fundering, riolering, gewapend beton-, staal- of systeemvloerconstructies voordat hiervan bij de dienst van gemeentewerken berekeningen met tekeningen zijn ingediend en goedgekeurd"
6,10.95,Dutch technical building code requirements,"This document outlines detailed technical requirements for various aspects of building construction, including ventilation, fire resistance, thermal insulation, and material compatibility, as per Dutch standards NEN 1087 and NEN 3854."
7,8.36,Directive,"Directive regarding fire safety measures for public buildings, including requirements for ventilation, lighting, and emergency exits."
8,10.22,Bouwvergunningen,"Ingekomen verzoeken om bouwvergunningen voor woningbouw in Elst en Lent, met verwijzing naar bestemmingsplannen en deelplannen."
9,19.03,Verzoek om afschrift van een verklaring van geen bezwaar,"Het document is een verzoek om een afschrift van een verklaring van geen bezwaar, gericht aan de Gedeputeerde Staten van Gelderland, betreffende de bouw van woningwet-eenheden in Elst. Het verzoek verwijst naar een bestemmingsplan en een ontwerpbouwplan, beide geregistreerd bij de Gedeputeerde Staten van Gelderland. De bestemmingen zijn 'woonbevolking' en 'woonhuizen voor bejaarden', en het gebied wordt beschouwd als geen geschikte locatie voor woningbouw."
10,9.33,"""Nederlandse Staatscourant""","""Document containing information about a public hearing procedure for a planning proposal, including dates, locations, and relevant documents."""
