Page,Time (s),Classification,Summary
1,12.50,Bouwvergunningaanvraag,"Aanvraag voor bouwvergunning van de Gezamenlijke Woningbouwverenigingen Elst, met details over bestemming, bouwkosten en betrokken partijen."
2,10.59,Architectural Construction Permit Application,"This form is used for submitting architectural construction permits to the welfare supervision service, including details such as the architect's name, address, materials used, colors, and a technical drawing or photo of the buildings involved."
3,11.25,Bouw- en Woningtoezicht form,"A form for submitting information to the Dutch Building and Housing Inspectorate regarding building and housing regulations, including details about the height of buildings, separation of properties, provision of utilities, and the intended use of rooms."
4,9.92,Bouwvergunningaanvraag,Verzoek voor vergunning voor bouwen van 27 woningbouw eenheden op perceel Wagenmakerstraat te Elst.
5,25.85,Besluit over bouwvergunning,"Het besluit bevat een welstandsbeoordeling, aanvullingen en bijzonderheden, en advies voor de aanvrager. Het besluit is gericht op een bouwvergunning voor een inrichting in een bestaande woningbouwvereniging. Er zijn geen technische bezwaren genoemd, maar er zijn beschadigingen aan het gemeentelijk wegdek, trottoir en plantsoenen die moeten worden afgedekt. Het advies bevat onder andere dat geen aanvang wordt gemaakt met de fundering, riolering, gewapend beton-, staal- of systeemvloerconstructies voordat hiervan bij de dienst van gemeentewerken berekeningen met tekeningen zijn ingediend en goedgekeurd"
6,10.61,Dutch technical building code requirements,"This document outlines detailed technical requirements for various aspects of building construction, including ventilation, fire resistance, thermal insulation, and material compatibility, as per Dutch standards NEN 1087 and NEN 3854."
7,8.76,Directive,"Directive regarding fire safety measures for public buildings, including requirements for ventilation, lighting, and emergency exits."
8,10.29,Bouwvergunningen,"Ingekomen verzoeken om bouwvergunningen voor woningbouw in Elst en Lent, met verwijzing naar bestemmingsplannen en deelplannen."
9,19.20,Verzoek om afschrift van een verklaring van geen bezwaar,"Het document is een verzoek om een afschrift van een verklaring van geen bezwaar, gericht aan de Gedeputeerde Staten van Gelderland, betreffende de bouw van woningwet-eenheden in Elst. Het verzoek verwijst naar een bestemmingsplan en een ontwerpbouwplan, beide geregistreerd bij de Gedeputeerde Staten van Gelderland. De bestemmingen zijn 'woonbevolking' en 'woonhuizen voor bejaarden', en het gebied wordt beschouwd als geen geschikte locatie voor woningbouw."
10,9.13,"""Nederlandse Staatscourant""","""Document containing information about a public hearing procedure for a planning proposal, including dates, locations, and relevant documents."""
11,16.22,Bouwplan aanvraag voor sociale woningbouw,"Het document is een aanvraag voor een bouwplan ter invulling van het soortingsregime sociale woningbouw, waarbij de gemeente gevraagd wordt om spoedige afgifte van de vereiste verklaringen van geen bezwaar. De aanvraag is rechtstreeks naar de hoofdingemeer-directeur van de volkshuisvesting en de bouwnijverheid in Gelderland gestuurd."
12,11.70,Administrative Decision,"This is an official letter from the Province of Gelderland, the College of Burgemeester en Wethouders of the municipality of BLST, regarding the granting of a building permit for a residential construction project involving 27 housing units in the Wagenmakerstraat area, subject to compliance with existing regulations and conditions."
13,11.45,Meeting Agenda Item,"This is an agenda item form for a meeting held on July 1, 1986, where the main topic discussed was the agreement for a report to be prepared for the council. The form includes checkboxes for various actions such as agreeing, informing, discussing, and signing, with some marked as completed."
14,10.76,Administrative Notice,"The document is an administrative notice from the Gemeente Elst regarding the payment of leges en waarborgsom for the construction of 27 housing units on specific parcels in Elst, with a request for payment within two weeks or revocation of permission."
15,10.02,VOLTOOIINGSVERKLARING,"A completion declaration for the construction of 27 housing units in Elst, signed by the director of municipal works on November 17, 1987."
16,10.80,Gemeentelijke besluit,"Besluit van de gemeente Elst over vergunning en vrijstelling voor bouwen in een bepaald gebied, waarbij de bestemmingsplannen en wetgeving worden overwogen."
17,11.25,Bouwvergunningbesluit,"Besluit over bouwvergunning voor een woning in Elst, dat bevat de aanvraag, de toestemming van de burgemeester en de afkondiging van de beslissing."
18,13.15,Statistiche Berekening Prefab,"This is a technical engineering report for the static calculation of a prefab building project, dated 27-03-1987, involving 27 prefabricated houses in Elst. The report includes an address section for ADVIESBUREAU W.J. BRESSER b.v., and a signature section with a stamp indicating approval or review."
19,11.41,Construction Engineering Report,"This technical report covers structural engineering calculations for a residential building in Elst, including material quality standards, loadings, and unit weights according to Dutch engineering codes. It also mentions the use of professional computer software for analysis and lists standard units of measurement used."
20,9.44,Engineering Design Notes,"Handwritten technical notes for console marks XIV and XV, detailing structural dimensions, material types, and load calculations for concrete, steel, and wood construction elements."
21,9.18,Engineering calculation sheet,"Handwritten technical calculations for structural elements, including load distribution, material properties, and structural analysis for console marks XVII and XVIII."
22,10.07,Engineering calculation sheet,"The document contains detailed engineering calculations for a structural component, including material properties, load analysis, and structural dimensions. It includes handwritten notes and equations related to force distribution, material strength, and structural integrity."
23,9.11,Engineering Design Document,"Handwritten technical notes for structural engineering, including load calculations, material properties, and design parameters for a concrete structure component."
24,11.82,Engineering calculation sheet,"The document contains detailed engineering calculations for console members XX and XXX, including loadings, schematics, and structural dimensions. It is part of a technical report or design manual for concrete, steel, and timber construction, authored by Ing. F. Wiggers-Varsseveld."
25,10.16,Engineering calculation sheet,"This technical document contains detailed engineering calculations for structural elements, including material properties, dimensions, and loadings, related to a building project in Eindhoven. It includes handwritten notes and diagrams for reference and analysis."
26,9.35,Engineering Drawing,"Handwritten technical notes for structural engineering, including console and gallery plate designs, material specifications, and calculation details for concrete, steel, and wood construction."
27,8.86,Engineering Design Notes,"Handwritten technical notes for structural engineering, including load calculations, material properties, and structural layout for different plate designs."
28,8.88,Engineering Design Document,"Handwritten technical notes for structural analysis, including load calculations, material properties, and structural element dimensions for a galery plate marked V."
29,8.86,Engineering Drawing,"Hand-drawn technical drawings for galery plates, showing schematics, loading conditions, and structural calculations for two different plate marks."
30,9.78,Engineering Drawing,"This technical drawing contains structural calculations, loadings, and schematic diagrams for a building component, likely related to columns or beams, with reference to specific sections and materials such as concrete, steel, and wood."
31,11.79,Engineering Drawing,"This technical drawing is related to structural engineering, specifically for a building component labeled 'plaatkap'. It includes calculations for oversteek (overhang), voids, and a balcony plate, with reference to materials such as concrete, steel, and wood. The drawing also contains a schematic diagram and notes on dimensions and material properties."
32,8.58,Engineering calculation sheet,"Handwritten technical calculations for structural engineering, including material properties, dimensions, and load conditions for a building component."
33,8.62,Engineering Drawing,"Handwritten technical notes for structural engineering, including balcony plate designs, loading calculations, and beam dimensions for a building project."
34,8.54,Engineering calculation sheet,"Handwritten technical notes for structural engineering calculations, including material properties, dimensions, and structural analysis results for a building component."
35,9.43,Berekening fundering woningwetwoningen,Berekening t.b.v. de fundering voor woningwetwoningen aan de Wagemakersstraat te Elst.
36,10.91,Technical report,"A technical report detailing structural load calculations for a building, including floor, wall, and roof loads, as well as material strength values. The report is in Dutch and includes calculations for various structural elements such as floors, walls, and roofs, with specific load values per square meter."
37,11.11,Engineering calculation sheet for house construction,"The document contains detailed engineering calculations for structural elements such as walls, floors, and roofs, including material weights, dimensions, and total loads per square meter. It is part of an advice bureau report by W.J. Bresser b.v., focusing on house construction."
38,10.65,Engineering calculation sheet,"The document contains detailed engineering calculations for structural loadings, including floor slabs, walls of a building, and trapezium/house lift, with various dimensions, materials, and load values in kilonewtons per square meter."
39,13.02,Engineering calculation sheet,"This technical document from Adviesbureau W.J. Bresser b.v. contains detailed structural engineering calculations for various building components, including strook (beams), kopgevel (front facade), and bouwmuur naast entree's (wall next to entrance). The calculations include dimensions, material weights, and total gravitational forces per square meter for each component."
40,12.96,Engineering calculation sheet,"This technical sheet from Adviesbureau W.J. Bresser b.v. contains detailed structural engineering calculations for a building project, including load distribution, material properties, and structural dimensions for various elements such as walls, beams, and columns. The calculations include load values per square meter, structural heights, and material strengths, all relevant to the design of a residential building in Elst."
41,10.10,Engineering calculation sheet,"This technical document contains detailed engineering calculations for structural analysis, including material properties, loadings, and structural dimensions for a building component. It includes various formulas, values, and notes related to structural mechanics and construction design."
